,number,price,currency
245,8346,7.75,ETH
246,8826,14.0,ETH
247,4158,11.5,WETH
248,8495,2.3,ETH
249,604,17.5,ETH
250,9868,2.0,ETH
251,4384,16.0,ETH
252,5886,0.15,ETH
253,8073,3.0,ETH
254,7644,9.1,ETH
255,2634,0.15,ETH
256,4670,0.3,ETH
257,8746,12.0,ETH
258,335,4.9,ETH
259,4943,3.0,WETH
260,7503,27.0,ETH
261,606,13.37,ETH
262,1810,2.75,ETH
263,8661,1.0,ETH
264,1718,0.65,ETH
265,8937,25.0,ETH
266,3569,16.0,ETH
267,9430,0.02,ETH
268,3406,3.0,ETH
269,3133,3.99,ETH
270,6718,0.25,ETH
271,8024,17.99,ETH
272,2504,2.2,ETH
273,8412,22.0,ETH
274,9366,0.85,ETH
275,4996,36.0,ETH
276,3460,24.1138,WETH
277,8667,3.0,ETH
278,86,25.0,ETH
279,4052,23.0526,ETH
280,6071,4.0,ETH
281,2610,4.75,ETH
282,5724,14.325,WETH
283,6488,23.98,ETH
284,8085,3.5,ETH
285,9059,0.2,ETH
286,2499,9.0,WETH
287,2252,4.9,ETH
288,4282,8.0,ETH
289,1028,0.25,ETH
290,7700,20.0,ETH
291,5095,5.0,ETH
292,6390,4.63,ETH
293,5528,3.7,ETH
294,8770,1.7,ETH
295,7459,0.4,ETH
296,2210,15.0,ETH
297,8849,8.8291,WETH
298,8129,0.1,ETH
299,4452,27.9,ETH
300,2081,3.11,ETH
301,4572,9.9373,WETH
302,7674,8.88,ETH
303,231,17.6942,ETH
304,3597,0.69,ETH
305,1599,0.02,ETH
306,6967,8.5,ETH
307,1209,0.5,ETH
308,3017,16.9,ETH
309,3289,16.45,ETH
310,2021,0.15,ETH
311,2666,0.5,ETH
312,6414,1.0,ETH
313,2580,5.0,ETH
314,6819,4.15,ETH
315,7815,14.5,ETH
316,7392,2.6,WETH
317,8777,16.005,ETH
318,8374,6.6,ETH
319,6669,1.49,ETH
320,6501,0.25,ETH
321,4130,0.5,ETH
322,823,0.69,ETH
323,7296,15.0,ETH
324,835,1.59,ETH
325,8645,5.0,WETH
326,1736,0.21,ETH
327,1348,5.0,ETH
328,8957,18.29,WETH
329,7140,0.3,ETH
330,2383,1.9,ETH
331,5694,2.75,ETH
332,3488,2.9,ETH
333,6121,12.0,ETH
334,9735,6.9,ETH
335,4539,18.0,ETH
336,3626,4.5,WETH
337,1245,15.0,WETH
338,8000,0.2,ETH
339,1102,17.77,ETH
340,3064,10.69,ETH
341,1429,5.7,ETH
342,7371,0.08,ETH
343,7873,0.065,ETH
344,3404,13.85,ETH
345,6437,3.0,ETH
346,3384,9.0,ETH
347,7642,2.88,ETH
348,5776,0.14,ETH
349,6261,3.0,ETH
350,153,0.06,ETH
351,8036,5.0,ETH
352,6771,0.27,WETH
353,1234,0.25,ETH
354,4390,18.0,ETH
355,8437,10.0,ETH
356,2342,10.0,ETH
357,2750,15.0,WETH
358,5915,2.5,WETH
359,306,3.02,WETH
360,2518,11.0,WETH
361,1521,0.45,ETH
362,7002,13.25,WETH
363,7200,0.8,ETH
364,9418,0.02,ETH
365,1991,10.0,ETH
366,9067,1.3,ETH
367,1744,0.005,ETH
368,1103,1.99,ETH
369,2509,1.75,ETH
370,3494,4.5,ETH
371,8732,5.0,ETH
372,1763,12.25,ETH
373,842,0.3999,ETH
374,2336,3.88,ETH
375,4013,12.22,ETH
376,7370,2.7,ETH
377,1295,19.0,ETH
378,239,21.0,ETH
379,1851,0.99,ETH
380,9811,18.8007,ETH
381,7653,12.85,ETH
382,4089,12.0,ETH
383,408,1.5,ETH
384,7851,4.9,ETH
385,7251,35.0,ETH
386,2412,0.3,ETH
387,4633,0.5,ETH
388,8949,8.9,ETH
389,5796,20.0,ETH
390,3886,1.98,ETH
391,8333,9.0,ETH
392,410,2.95,ETH
393,2488,1.875,ETH
394,5384,0.45,ETH
395,5508,8.888,ETH
396,825,3.9,ETH
