,cat_number,rank,face,face-score,shirt,shirt-score,body,tier,tier-score,hats,hats-score,total
0,1,3474,sunglasses blue,3.2,winter red,38.9,blue cat skin,wild_1,1.9,hat black,61.4,105.4
2,3,9235,beard pirate,0.8,hoodie purple,6.4,blue cat skin,cool_2,5,mohawk purple,5.6,12.8
3,4,9413,unamused,2.0,buttondown tan,8.6,blue cat skin,cool_1,1.2,hat white,5,11.8
4,5,7088,sunglasses cool,10.0,shirt white,10.6,blue cat skin,cool_1,1.2,arrowhead,8.8,30.6
5,6,4700,sunglasses blue,3.2,work red,3.4,blue cat skin,cool_2,5,ninja red,74.0,80.5
6,7,9498,mummy,0.7,tshirt red,5.1,blue cat skin,cool_2,5,flower red,5.4,11.2
7,8,1740,hearts,4.2,epaulette white,118.3,blue cat skin,classy_1,6.2,sunhat tan,41.8,170.5
8,9,7034,mummy,0.7,overalls flannel,35.6,blue cat skin,wild_1,1.9,headband blue,4.2,42.4
9,10,4442,three eyes,1.6,overalls flannel,35.6,blue cat skin,wild_2,4.2,beret pink,46.7,88.0
10,11,7768,grin,5.4,work blue,5.1,blue cat skin,cool_1,1.2,flower pink,8.4,20.0
11,12,5984,dizzy,4.8,tanktop sailor black,42.6,blue cat skin,cool_2,5,arrowhead,8.8,56.3
12,13,8722,double face,3.8,tanktop pink,5.9,blue cat skin,cool_2,5,mohawk purple,5.6,15.3
13,14,4968,ninja blue,4.5,hoodie purple,6.4,blue cat skin,cool_2,5,beanie blue,59.4,70.3
14,15,9583,unamused,2.0,tanktop white,3.9,blue cat skin,cool_1,1.2,antlers,3.5,10.6
15,16,7186,shocked,7.5,tshirt pink,3.9,blue cat skin,cool_1,1.2,beanie orange,12.8,25.4
16,17,5722,wink,7.7,buttondown red flannel,43.4,blue cat skin,cool_2,5,piercings,8.1,59.2
17,18,7555,sunglasses pixel,5.8,tanktop orange,7.7,blue cat skin,cool_2,5,beanie red,7.9,21.4
18,19,5915,zombie,1.1,baseball red,47.4,blue cat skin,wild_1,1.9,headband red,6.6,57.1
19,20,7719,angry,3.5,shirt white,10.6,blue cat skin,cool_1,1.2,hat visor yellow,5.0,20.3
20,21,6876,ninja black,7.5,tanktop tattoo,34.9,blue cat skin,cool_2,5,headband blue,4.2,46.7
21,22,8823,hearts,4.2,overalls blue,0,blue cat skin,cool_1,1.2,flower blue,9.5,14.8
22,23,9451,owo,3.5,work red,3.4,blue cat skin,cool_1,1.2,antlers,3.5,11.6
23,24,4636,three eyes,1.6,shirt yellow,4.4,blue cat skin,wild_1,1.9,wreath flowers,75.2,83.1
24,25,4553,sunglasses pixel,5.8,tshirt blue,32.5,blue cat skin,wild_2,4.2,hat skull,43.2,85.5
25,26,1040,wink,7.7,combat black,110.7,blue cat skin,classy_1,6.2,wreath flowers,75.2,199.8
26,27,3978,beard tan,10.2,tshirt yellow,4.4,blue cat skin,wild_1,1.9,nurse,80.8,97.2
27,28,2981,hearts,4.2,sweater orange,8.0,blue cat skin,wild_1,1.9,helm bronze,107.2,121.2
28,29,7107,beard tan,10.2,tshirt green,7.7,blue cat skin,cool_1,1.2,arrowhead,8.8,28.0
29,30,6666,angry cute,2.4,bandana red,0.6,blue cat skin,wild_1,1.9,visor green,44.5,49.3
30,31,4300,wink,7.7,work blue,5.1,blue cat skin,wild_1,1.9,tvhead grey,76.6,91.2
31,32,7396,sunglasses yellow,8.5,buttondown green,0.2,blue cat skin,cool_1,1.2,beanie orange,12.8,22.7
32,33,3068,grin,5.4,tshirt red,5.1,blue cat skin,wild_2,4.2,tvhead purple,103.0,117.7
33,34,1766,beard brown,5.4,pirate black,69.7,blue cat skin,classy_1,6.2,top hat,88.4,169.6
34,35,4586,beard pirate,0.8,bandana purple,3.0,blue cat skin,wild_2,4.2,bow,76.6,84.6
35,36,4569,sunglasses yellow,8.5,pirate black,69.7,blue cat skin,wild_1,1.9,hat visor yellow,5.0,85.0
36,37,8769,happy,6.7,bandana red,0.6,blue cat skin,cool_1,1.2,headband red,6.6,15.1
37,38,6568,stunned,2.8,buttondown red flannel,43.4,blue cat skin,cool_2,5,headband blue,4.2,50.4
38,39,5786,happy cute,8.9,tshirt green,7.7,blue cat skin,cool_2,5,sunhat tan,41.8,58.5
39,40,5780,glasses,4.8,tanktop white,3.9,blue cat skin,cool_2,5,pirate red,49.8,58.5
40,41,8059,rich,3.6,hoodie purple,6.4,blue cat skin,cool_2,5,flower pink,8.4,18.4
41,42,1072,ditto,0,lederhosen,75.2,blue cat skin,classy_2,9.4,dutch,113.9,198.5
42,43,1945,sunglasses cowboy,7.3,pirate red,97.4,blue cat skin,wild_2,4.2,sunhat black,53.9,162.7
43,44,3727,face face,9.1,buttondown black flannel,3.0,blue cat skin,wild_2,4.2,halo fire,85.2,101.5
44,45,1719,angry scar,6.3,overalls yellow,60.0,blue cat skin,classy_2,9.4,astro,95.3,171.1
45,46,2072,smirk,6.3,viking navy,68.4,blue cat skin,classy_1,6.2,bow,76.6,157.4
46,47,8388,angry scar,6.3,robe red,5.1,blue cat skin,cool_2,5,beret green,5.4,16.8
47,48,5295,uwu,5.0,work blue,5.1,blue cat skin,cool_2,5,beanie black,54.8,64.9
48,49,3908,angry,3.5,tanktop sailor blue,41.8,blue cat skin,wild_1,1.9,hat visor blue,51.4,98.5
49,50,4782,unamused,2.0,viking navy,68.4,blue cat skin,wild_1,1.9,apple,4.0,76.3
50,51,4912,happy,6.7,work red,3.4,blue cat skin,cool_2,5,hat black,61.4,71.5
51,52,1331,face face,9.1,astro black,115.7,blue cat skin,classy_1,6.2,helm army,54.8,185.8
52,53,6860,derp,3.5,sweater pink,39.7,blue cat skin,cool_2,5,bucket hat tan,3.7,46.8
53,54,6481,pixel,5.6,shirt bowtie,40.4,blue cat skin,cool_2,5,flower red,5.4,51.3
54,55,5819,ditto,0,buttondown red flannel,43.4,blue cat skin,wild_1,1.9,beanie orange,12.8,58.0
55,56,1549,grin,5.4,sweater black,54.8,blue cat skin,wild_2,4.2,helm silver,113.9,178.3
56,57,6108,stunned,2.8,tanktop sailor black,42.6,blue cat skin,cool_2,5,wreath,9.5,54.9
57,58,6620,sunglasses cool,10.0,ninja blue,34.9,blue cat skin,cool_2,5,hat visor yellow,5.0,50.0
58,59,2210,glossy,9.6,tanktop sailor blue,41.8,blue cat skin,wild_2,4.2,astro,95.3,150.9
59,60,1017,beard pirate,0.8,gown white,95.4,blue cat skin,classy_2,9.4,astro,95.3,201.0
60,61,6003,happy,6.7,buttondown black flannel,3.0,blue cat skin,wild_1,1.9,visor green,44.5,56.1
61,62,8092,angry,3.5,sweater orange,8.0,blue cat skin,cool_1,1.2,mohawk purple,5.6,18.3
62,63,8107,ninja blue,4.5,bandana green,4.4,blue cat skin,cool_1,1.2,piercings,8.1,18.2
63,64,4414,happy,6.7,sweater orange,8.0,blue cat skin,cool_2,5,ninja red,74.0,88.7
64,65,9584,three eyes,1.6,buttondown green,0.2,blue cat skin,cool_2,5,arrowhead,8.8,10.6
65,66,5907,ninja red,5.8,overalls blue,0,blue cat skin,cool_2,5,hat visor blue,51.4,57.1
66,67,5630,shocked,7.5,buttondown red flannel,43.4,blue cat skin,cool_2,5,wreath,9.5,60.4
67,68,5618,ninja red,5.8,sweater black,54.8,blue cat skin,cool_2,5,hat white,5,60.6
68,69,3771,ninja blue,4.5,sweater pink,39.7,blue cat skin,wild_1,1.9,bucket hat white,54.8,100.8
69,70,2662,derp,3.5,viking brown,73.7,blue cat skin,wild_2,4.2,ninja blue,51.4,132.7
70,71,4130,angry cute,2.4,overalls flannel,35.6,blue cat skin,wild_1,1.9,beanie black,54.8,94.6
71,72,7532,sunglasses cowboy,7.3,tshirt green,7.7,blue cat skin,cool_1,1.2,beret green,5.4,21.6
72,73,3896,stunned,2.8,overalls red,84.5,blue cat skin,wild_1,1.9,wreath,9.5,98.7
73,74,6580,owo,3.5,ninja red,37.6,blue cat skin,cool_2,5,beret red,9.3,50.3
74,75,2179,glossy,9.6,gown white,95.4,blue cat skin,wild_2,4.2,hat skull,43.2,152.3
75,76,3476,double face,3.8,tanktop sailor black,42.6,blue cat skin,wild_2,4.2,helm army,54.8,105.3
76,77,3890,sunglasses cool,10.0,astro,78.1,blue cat skin,wild_1,1.9,arrowhead,8.8,98.8
77,78,5021,uwu,5.0,tanktop orange,7.7,blue cat skin,cool_2,5,unicorn horn,56.6,69.3
78,79,4223,happy,6.7,ninja red,37.6,blue cat skin,wild_1,1.9,beret black,46.7,92.8
79,80,1977,shocked,7.5,knight leather,81.2,blue cat skin,classy_1,6.2,cowboy black,66.7,161.6
80,81,3995,unamused,2.0,buttondown black flannel,3.0,blue cat skin,wild_1,1.9,helm biker,90.1,97.0
81,82,8287,glasses funny,4.2,tshirt pink,3.9,blue cat skin,cool_2,5,beret red,9.3,17.3
82,83,618,angry,3.5,combat green,123.9,blue cat skin,classy_2,9.4,knight blue,93.5,230.3
83,84,1069,sunglasses pixel,5.8,costume dragon,126.8,blue cat skin,classy_2,9.4,unicorn horn,56.6,198.5
84,85,5354,uwu,5.0,work red,3.4,blue cat skin,cool_2,5,sunhat white,55.7,64.1
85,86,378,mononoke,4.5,overalls red,84.5,blue cat skin,exotic_1,16.0,knight black,152.1,257.1
86,87,3214,sunglasses cool,10.0,tanktop sailor black,42.6,blue cat skin,wild_1,1.9,mullet brown,57.5,112.0
87,88,9577,smirk,6.3,buttondown green,0.2,blue cat skin,cool_1,1.2,bucket hat green,3.0,10.6
88,89,1370,beard pirate,0.8,astro black,115.7,blue cat skin,classy_2,9.4,mullet blonde,58.5,184.4
89,90,9709,sunglasses pixel,5.8,overalls blue,0,blue cat skin,cool_2,5,bucket hat tan,3.7,9.4
90,91,7739,sunglasses yellow,8.5,tshirt red,5.1,blue cat skin,cool_1,1.2,beret green,5.4,20.2
91,92,5052,ninja black,7.5,bandana purple,3.0,blue cat skin,cool_2,5,mullet blonde,58.5,68.9
92,93,748,mummy,0.7,ninja black,84.5,blue cat skin,exotic_1,16.0,admiral pink,118.8,219.9
93,94,5522,owo,3.5,buttondown tan,8.6,blue cat skin,cool_2,5,pirate red,49.8,61.8
94,95,4052,angry scar,6.3,tshirt metal,41.1,blue cat skin,wild_2,4.2,mohawk red,44.5,96.1
95,96,7497,sunglasses pixel,5.8,tshirt green,7.7,blue cat skin,cool_2,5,flower pink,8.4,21.8
96,97,3848,mononoke,4.5,knight,87.9,blue cat skin,wild_2,4.2,bucket hat green,3.0,99.5
97,98,7314,glasses,4.8,sweater orange,8.0,blue cat skin,cool_1,1.2,flower blue,9.5,23.5
98,99,3945,sunglasses heart,3.0,knight leather,81.2,blue cat skin,wild_2,4.2,wreath,9.5,97.9
99,100,617,mummy,0.7,cowboy brown,123.9,blue cat skin,exotic_1,16.0,halo,90.1,230.6
100,101,1852,mummy,0.7,ninja black,84.5,blue cat skin,classy_1,6.2,wreath flowers,75.2,166.6
101,102,460,zombie,1.1,knight black,139.5,blue cat skin,exotic_1,16.0,bucket hat blue,90.1,246.7
102,103,9321,stunned,2.8,bandana purple,3.0,blue cat skin,cool_1,1.2,beret green,5.4,12.4
103,104,7212,face face,9.1,sweater orange,8.0,blue cat skin,cool_1,1.2,headband red,6.6,24.9
104,105,7801,sunglasses cool,10.0,tshirt yellow,4.4,blue cat skin,cool_1,1.2,headband blue,4.2,19.8
105,106,8136,rich,3.6,work blue,5.1,blue cat skin,cool_2,5,beret red,9.3,18.0
106,107,1753,mononoke,4.5,hoodie red,79.7,blue cat skin,classy_2,9.4,bow,76.6,170.2
107,108,3980,mummy,0.7,ninja red,37.6,blue cat skin,wild_2,4.2,helm army,54.8,97.2
108,109,138,rich,3.6,epaulette red,106.0,blue cat skin,exotic_2,62.4,knight black,152.1,324.2
109,110,3959,unamused,2.0,baseball blue,38.9,blue cat skin,wild_1,1.9,bucket hat white,54.8,97.6
110,111,5374,glossy,9.6,buttondown black flannel,3.0,blue cat skin,cool_2,5,hat visor blue,51.4,63.9
111,112,5304,hearts,4.2,tanktop pink,5.9,blue cat skin,cool_2,5,helm army,54.8,64.8
112,113,6534,smirk,6.3,winter red,38.9,blue cat skin,cool_2,5,candle,5.6,50.9
113,114,6220,glasses,4.8,tshirt metal,41.1,blue cat skin,cool_2,5,beanie red,7.9,53.9
114,115,4720,face face,9.1,overalls pink,60.0,blue cat skin,wild_1,1.9,arrowhead,8.8,79.8
115,116,3874,unamused,2.0,tshirt red,5.1,blue cat skin,wild_1,1.9,bucket hat blue,90.1,99.1
116,117,6328,tired,5.9,hoodie black,42.6,blue cat skin,cool_2,5,headband blue,4.2,52.8
117,118,5859,ninja red,5.8,bandana green,4.4,blue cat skin,cool_2,5,cupcake,47.4,57.6
118,119,7864,glossy,9.6,robe red,5.1,blue cat skin,cool_1,1.2,bucket hat tan,3.7,19.6
119,120,7462,smirk,6.3,work blue,5.1,blue cat skin,cool_1,1.2,flower blue,9.5,22.1
120,121,6758,angry cute,2.4,toga,41.8,blue cat skin,cool_2,5,apple,4.0,48.3
121,122,6065,three eyes,1.6,work blue,5.1,blue cat skin,wild_2,4.2,visor green,44.5,55.4
122,123,3629,double face,3.8,sweater green chain,86.2,blue cat skin,wild_2,4.2,arrowhead,8.8,103.0
123,124,1578,sunglasses cool,10.0,cowboy black,84.5,blue cat skin,classy_1,6.2,prince,76.6,177.2
124,125,6504,wink,7.7,overalls flannel,35.6,blue cat skin,cool_2,5,beanie red,7.9,51.2
125,126,2698,owo,3.5,tshirt red,5.1,blue cat skin,wild_2,4.2,admiral pink,118.8,131.5
126,127,1217,stunned,2.8,costume dragon,126.8,blue cat skin,classy_1,6.2,helm army,54.8,190.5
127,128,2243,double face,3.8,gown white,95.4,blue cat skin,classy_1,6.2,hat skull,43.2,148.5
128,129,6223,ditto,0,winter blue,46.6,blue cat skin,wild_1,1.9,flower red,5.4,53.8
129,130,8721,uwu,5.0,buttondown blue flannel,6.1,blue cat skin,cool_1,1.2,bucket hat green,3.0,15.3
130,131,3443,sunglasses squad,9.1,cowboy black,84.5,blue cat skin,wild_2,4.2,piercings,8.1,105.9
131,132,3065,angry,3.5,buttondown red flannel,43.4,blue cat skin,wild_2,4.2,cowboy black,66.7,117.8
132,133,2271,sunglasses yellow,8.5,sweater orange,8.0,blue cat skin,wild_2,4.2,crown fire,126.6,147.3
133,134,8442,glossy,9.6,robe blue,0.4,blue cat skin,cool_1,1.2,beret green,5.4,16.5
134,135,8749,beard brown,5.4,tshirt red,5.1,blue cat skin,cool_1,1.2,antlers,3.5,15.2
135,136,6656,derp,3.5,tanktop sailor black,42.6,blue cat skin,cool_2,5,mohawk green,3.3,49.4
136,137,5218,smirk,6.3,robe red,5.1,blue cat skin,cool_2,5,beanie black,54.8,66.2
137,138,3864,zombie,1.1,tanktop white,3.9,blue cat skin,wild_2,4.2,halo,90.1,99.3
138,139,5146,ninja red,5.8,robe blue,0.4,blue cat skin,cool_2,5,sushi,61.4,67.6
139,140,8578,ninja black,7.5,tshirt pink,3.9,blue cat skin,cool_1,1.2,mohawk green,3.3,15.9
140,141,7758,ninja red,5.8,robe blue,0.4,blue cat skin,cool_1,1.2,beanie orange,12.8,20.1
141,142,5496,ninja black,7.5,winter blue,46.6,blue cat skin,cool_2,5,piercings,8.1,62.2
142,143,9867,unamused,2.0,overalls blue,0,blue cat skin,cool_1,1.2,mohawk green,3.3,6.5
143,144,2528,ninja red,5.8,sweater pink,39.7,blue cat skin,wild_2,4.2,horns,88.4,138.0
144,145,3441,hearts,4.2,buttondown red flannel,43.4,blue cat skin,wild_1,1.9,unicorn horn,56.6,106.0
145,146,7791,beard brown,5.4,tshirt green,7.7,blue cat skin,cool_1,1.2,mohawk purple,5.6,19.9
146,147,661,dizzy,4.8,epaulette red,106.0,blue cat skin,exotic_1,16.0,tvhead white,99.0,225.9
147,148,4955,angry,3.5,overalls pink,60.0,blue cat skin,wild_1,1.9,flower red,5.4,70.8
148,149,9381,beard tan,10.2,bandana red,0.6,blue cat skin,cool_1,1.2,hat white,5,12.0
149,150,3106,ninja blue,4.5,sweater black,54.8,blue cat skin,wild_1,1.9,helm army,54.8,115.9
150,151,8426,rich,3.6,buttondown green,0.2,blue cat skin,cool_2,5,beanie orange,12.8,16.6
151,152,3856,ninja black,7.5,toga,41.8,blue cat skin,wild_1,1.9,afro brown,48.2,99.4
152,153,489,glossy,9.6,lederhosen,75.2,blue cat skin,classy_2,9.4,costume frog,148.5,242.7
153,154,5497,sunglasses cool,10.0,robe white,46.6,blue cat skin,cool_2,5,mohawk purple,5.6,62.2
154,155,3488,ditto,0,sweater pink,39.7,blue cat skin,wild_2,4.2,sushi,61.4,105.2
155,156,8445,ninja black,7.5,bandana green,4.4,blue cat skin,cool_1,1.2,antlers,3.5,16.5
156,157,5465,derp,3.5,shirt yellow,4.4,blue cat skin,cool_2,5,bucket hat white,54.8,62.6
157,158,4830,sunglasses pixel,5.8,overalls pink,60.0,blue cat skin,wild_2,4.2,headband blue,4.2,74.2
158,159,2988,beard tan,10.2,tshirt white,53.8,blue cat skin,wild_1,1.9,helm army,54.8,120.7
159,160,716,happy cute,8.9,tanktop tattoo,34.9,blue cat skin,classy_1,6.2,astro fishbowl,172.5,222.5
160,161,176,beard brown,5.4,costume gorilla,166.9,blue cat skin,exotic_1,16.0,crown black,118.8,307.0
161,162,8207,sunglasses squad,9.1,buttondown tan,8.6,blue cat skin,cool_2,5,hat white,5,17.7
162,163,1722,angry cute,2.4,astro black,115.7,blue cat skin,classy_1,6.2,beret black,46.7,170.9
163,164,4115,angry cute,2.4,bandana red,0.6,blue cat skin,wild_1,1.9,halo,90.1,94.9
164,165,2575,three eyes,1.6,sweater pink,39.7,blue cat skin,classy_2,9.4,halo fire,85.2,135.9
165,166,2296,ditto,0,knight leather,81.2,blue cat skin,classy_1,6.2,mullet blonde,58.5,145.8
166,167,4365,owo,3.5,sweater pink,39.7,blue cat skin,wild_1,1.9,mohawk red,44.5,89.5
167,168,1237,angry scar,6.3,overalls pink,60.0,blue cat skin,classy_2,9.4,helm silver,113.9,189.7
168,169,6862,angry cute,2.4,ninja blue,34.9,blue cat skin,cool_2,5,flower blue,9.5,46.8
169,170,5998,sunglasses cool,10.0,tshirt metal,41.1,blue cat skin,cool_2,5,hat visor yellow,5.0,56.1
170,171,2890,happy cute,8.9,tshirt yellow,4.4,blue cat skin,wild_2,4.2,visor purple,107.2,124.6
171,172,3924,sunglasses cool,10.0,ninja blue,34.9,blue cat skin,wild_1,1.9,hat visor blue,51.4,98.2
172,173,4923,ninja red,5.8,buttondown blue flannel,6.1,blue cat skin,cool_2,5,beanie blue,59.4,71.3
173,174,685,sunglasses squad,9.1,combat black,110.7,blue cat skin,exotic_1,16.0,top hat,88.4,224.3
174,175,6293,ninja black,7.5,winter red,38.9,blue cat skin,cool_2,5,headband red,6.6,53.0
175,176,5823,glasses funny,4.2,winter blue,46.6,blue cat skin,wild_1,1.9,flower red,5.4,58.0
176,177,5521,angry scar,6.3,tshirt pink,3.9,blue cat skin,wild_1,1.9,pirate red,49.8,61.8
177,178,6824,angry,3.5,shirt bowtie,40.4,blue cat skin,cool_2,5,antlers,3.5,47.3
178,179,5500,owo,3.5,tshirt pink,3.9,blue cat skin,cool_2,5,bucket hat white,54.8,62.2
179,180,1358,sunglasses cowboy,7.3,nurse,115.7,blue cat skin,wild_2,4.2,afro black,57.5,184.7
180,181,6674,sunglasses blue,3.2,hoodie black,42.6,blue cat skin,cool_2,5,antlers,3.5,49.3
181,182,7541,happy cute,8.9,hoodie purple,6.4,blue cat skin,cool_1,1.2,hat visor yellow,5.0,21.5
182,183,4351,owo,3.5,sweater orange,8.0,blue cat skin,wild_1,1.9,tvhead grey,76.6,89.9
183,184,6268,angry,3.5,sweater orange,8.0,blue cat skin,cool_2,5,sunhat tan,41.8,53.3
184,185,4498,zombie,1.1,tanktop tattoo,34.9,blue cat skin,wild_2,4.2,beret pink,46.7,86.9
185,186,8601,derp,3.5,bandana purple,3.0,blue cat skin,cool_1,1.2,piercings,8.1,15.8
186,187,9798,ditto,0,overalls blue,0,blue cat skin,cool_2,5,piercings,8.1,8.1
187,188,1635,ninja black,7.5,punk,108.3,blue cat skin,wild_2,4.2,helm army,54.8,174.7
188,189,2423,ditto,0,winter blue,46.6,blue cat skin,classy_2,9.4,halo fire,85.2,141.3
189,190,1986,double face,3.8,knight leather,81.2,blue cat skin,classy_2,9.4,cowboy black,66.7,161.2
190,191,6685,ninja blue,4.5,tshirt green,7.7,blue cat skin,cool_2,5,cowboy brown,36.9,49.1
191,192,15,tvface 404,414.6,deepsea bronze,118.3,blue cat skin,exotic_2,62.4,tvhead purple,103.0,698.3
192,193,5321,rich,3.6,tanktop orange,7.7,blue cat skin,wild_1,1.9,hat visor blue,51.4,64.6
193,194,2774,angry scar,6.3,tanktop sailor red,39.7,blue cat skin,classy_1,6.2,bow,76.6,128.7
194,195,1210,sunglasses cowboy,7.3,gown black,123.9,blue cat skin,classy_1,6.2,sunhat black,53.9,191.2
195,196,5392,ditto,0,buttondown blue flannel,6.1,blue cat skin,wild_1,1.9,sunhat white,55.7,63.7
196,197,8804,angry scar,6.3,tshirt red,5.1,blue cat skin,cool_2,5,antlers,3.5,14.9
197,198,6145,owo,3.5,toga,41.8,blue cat skin,cool_2,5,beret red,9.3,54.6
198,199,2064,beard brown,5.4,epaulette black,101.6,blue cat skin,wild_2,4.2,beret pink,46.7,157.8
199,200,2475,derp,3.5,gown black,123.9,blue cat skin,wild_2,4.2,piercings,8.1,139.6
200,201,5603,glossy,9.6,toga,41.8,blue cat skin,cool_2,5,beret red,9.3,60.7
201,202,2185,sunglasses heart,3.0,ninja black,84.5,blue cat skin,classy_1,6.2,mullet blonde,58.5,152.1
202,203,9328,pixel,5.6,buttondown green,0.2,blue cat skin,cool_1,1.2,flower red,5.4,12.3
203,204,8058,stunned,2.8,tshirt red,5.1,blue cat skin,cool_1,1.2,beret red,9.3,18.4
204,205,1746,ninja blue,4.5,pirate black,69.7,blue cat skin,classy_1,6.2,halo,90.1,170.4
205,206,8256,dizzy,4.8,tanktop pink,5.9,blue cat skin,cool_1,1.2,candle,5.6,17.5
206,207,1908,sunglasses blue,3.2,gown purple,86.2,blue cat skin,classy_1,6.2,knight red,69.0,164.5
207,208,5664,unamused,2.0,robe blue,0.4,blue cat skin,cool_2,5,mullet brown,57.5,60.0
208,209,5827,face face,9.1,bandana red,0.6,blue cat skin,cool_2,5,afro brown,48.2,57.9
209,210,8948,uwu,5.0,buttondown black flannel,3.0,blue cat skin,cool_1,1.2,hat visor yellow,5.0,14.2
210,211,9663,mummy,0.7,robe blue,0.4,blue cat skin,cool_2,5,arrowhead,8.8,9.9
211,212,1620,ninja blue,4.5,epaulette red,106.0,blue cat skin,classy_1,6.2,mullet blonde,58.5,175.1
212,213,5806,stunned,2.8,bandana red,0.6,blue cat skin,cool_2,5,beanie black,54.8,58.2
213,214,2440,ditto,0,lederhosen,75.2,blue cat skin,classy_1,6.2,beanie blue,59.4,140.7
214,215,188,owo,3.5,monk,110.7,blue cat skin,exotic_1,16.0,astro fishbowl,172.5,302.6
215,216,9657,hearts,4.2,robe blue,0.4,blue cat skin,cool_1,1.2,headband blue,4.2,10.0
216,217,5993,glasses,4.8,tshirt pink,3.9,blue cat skin,cool_2,5,cupcake,47.4,56.2
217,218,9090,sunglasses cowboy,7.3,tshirt red,5.1,blue cat skin,cool_1,1.2,hat white,5,13.6
218,219,1928,double face,3.8,overalls yellow,60.0,blue cat skin,classy_2,9.4,halo,90.1,163.4
219,220,5576,glasses,4.8,bandana red,0.6,blue cat skin,cool_2,5,sunhat white,55.7,61.1
220,221,7489,ninja red,5.8,buttondown blue flannel,6.1,blue cat skin,cool_1,1.2,arrowhead,8.8,21.9
221,222,2153,angry,3.5,pirate red,97.4,blue cat skin,wild_2,4.2,afro brown,48.2,153.2
222,223,6177,sunglasses yellow,8.5,shirt bowtie,40.4,blue cat skin,cool_2,5,flower red,5.4,54.3
223,224,6376,ditto,0,buttondown black flannel,3.0,blue cat skin,wild_1,1.9,cupcake,47.4,52.3
224,225,875,beard tan,10.2,wetsuit,81.2,blue cat skin,classy_2,9.4,costume gorilla,109.3,210.2
225,226,965,sunglasses heart,3.0,costume hotdog,108.3,blue cat skin,exotic_1,16.0,bow,76.6,203.9
226,227,5951,pixel,5.6,tshirt yellow,4.4,blue cat skin,cool_2,5,beret pink,46.7,56.7
227,228,6327,happy,6.7,tanktop sailor blue,41.8,blue cat skin,cool_2,5,headband blue,4.2,52.8
228,229,3200,sunglasses cowboy,7.3,tshirt white,53.8,blue cat skin,wild_1,1.9,pirate red,49.8,112.7
229,230,3236,derp,3.5,sweater black,54.8,blue cat skin,wild_1,1.9,ninja blue,51.4,111.5
230,231,405,mummy,0.7,cowboy black,84.5,blue cat skin,exotic_1,16.0,knight black,152.1,253.3
231,232,538,glossy,9.6,punk,108.3,blue cat skin,classy_1,6.2,dutch,113.9,238.0
232,233,8788,uwu,5.0,robe red,5.1,blue cat skin,cool_1,1.2,bucket hat tan,3.7,15.0
233,234,8756,angry,3.5,tshirt red,5.1,blue cat skin,cool_1,1.2,flower red,5.4,15.2
234,235,5415,ninja red,5.8,buttondown blue flannel,6.1,blue cat skin,cool_2,5,hat visor blue,51.4,63.3
235,236,7412,glossy,9.6,hoodie purple,6.4,blue cat skin,cool_1,1.2,flower red,5.4,22.5
236,237,7222,beard tan,10.2,tanktop orange,7.7,blue cat skin,cool_1,1.2,candle,5.6,24.7
237,238,514,happy,6.7,costume hotdog,108.3,blue cat skin,exotic_1,16.0,costume gorilla,109.3,240.3
238,239,522,beard tan,10.2,epaulette red,106.0,blue cat skin,exotic_1,16.0,astro cheeks,107.2,239.4
239,240,6675,happy cute,8.9,tanktop tattoo,34.9,blue cat skin,cool_2,5,flower red,5.4,49.3
240,241,4506,hearts,4.2,lederhosen,75.2,blue cat skin,wild_1,1.9,mohawk purple,5.6,86.8
241,242,5558,beard tan,10.2,baseball red,47.4,blue cat skin,cool_2,5,bucket hat tan,3.7,61.4
242,243,5924,smirk,6.3,winter blue,46.6,blue cat skin,cool_2,5,apple,4.0,57.0
243,244,4402,double face,3.8,shirt yellow,4.4,blue cat skin,wild_2,4.2,prince,76.6,88.9
244,245,3604,dizzy,4.8,tanktop sailor blue,41.8,blue cat skin,wild_1,1.9,beanie black,54.8,103.3
245,246,3042,happy cute,8.9,tshirt white,53.8,blue cat skin,wild_1,1.9,sunhat black,53.9,118.5
246,247,9474,angry,3.5,work red,3.4,blue cat skin,cool_1,1.2,mohawk green,3.3,11.4
247,248,7056,beard brown,5.4,tshirt blue,32.5,blue cat skin,cool_2,5,mohawk green,3.3,41.2
248,249,8891,smirk,6.3,buttondown black flannel,3.0,blue cat skin,cool_1,1.2,apple,4.0,14.5
249,250,1431,mononoke,4.5,ninja black,84.5,blue cat skin,classy_2,9.4,pirate black,83.7,182.1
250,251,299,three eyes,1.6,costume gorilla,166.9,blue cat skin,exotic_1,16.0,helm biker,90.1,274.5
251,252,2940,mummy,0.7,tshirt pink,3.9,blue cat skin,wild_2,4.2,helm silver,113.9,122.7
252,253,4110,mummy,0.7,cowboy black,84.5,blue cat skin,wild_2,4.2,candle,5.6,94.9
253,254,7151,face face,9.1,tanktop orange,7.7,blue cat skin,cool_1,1.2,piercings,8.1,26.2
254,255,7456,sunglasses yellow,8.5,buttondown black flannel,3.0,blue cat skin,cool_1,1.2,wreath,9.5,22.2
255,256,6732,hearts,4.2,ninja blue,34.9,blue cat skin,cool_2,5,flower blue,9.5,48.6
256,257,1273,sunglasses pixel,5.8,knight leather,81.2,blue cat skin,exotic_1,16.0,halo fire,85.2,188.2
257,258,1316,uwu,5.0,gown black,123.9,blue cat skin,classy_1,6.2,hat visor blue,51.4,186.4
