,cat_number,rank,face,face-score,shirt,shirt-score,body,tier,tier-score,hats,hats-score,total
4729,4730,5795,beard pirate,0.8,tanktop pink,5.9,blue cat skin,wild_1,1.9,pirate red,49.8,58.3
4730,4731,2181,sunglasses squad,9.1,wetsuit,81.2,blue cat skin,classy_1,6.2,sunhat white,55.7,152.2
4731,4732,7513,pixel,5.6,buttondown blue flannel,6.1,blue cat skin,cool_1,1.2,arrowhead,8.8,21.7
4732,4733,2485,shocked,7.5,ninja red,37.6,blue cat skin,wild_2,4.2,helm biker,90.1,139.3
4733,4734,5716,derp,3.5,tshirt yellow,4.4,blue cat skin,cool_2,5,hat visor blue,51.4,59.2
4734,4735,251,mummy,0.7,tiger,113.2,blue cat skin,exotic_2,62.4,costume gorilla,109.3,285.6
4735,4736,238,ninja red,5.8,deepsea bronze,118.3,blue cat skin,exotic_1,16.0,deepsea orange,148.5,288.6
4736,4737,7989,mummy,0.7,buttondown tan,8.6,blue cat skin,cool_2,5,flower blue,9.5,18.8
4737,4738,3812,beard brown,5.4,chain,48.3,blue cat skin,wild_1,1.9,mohawk red,44.5,100.1
4738,4739,8449,glasses,4.8,tshirt red,5.1,blue cat skin,cool_1,1.2,flower red,5.4,16.5
4739,4740,242,grin,5.4,epaulette white,118.3,blue cat skin,exotic_1,16.0,deepsea orange,148.5,288.2
4740,4741,4296,three eyes,1.6,baseball blue,38.9,blue cat skin,wild_2,4.2,beret pink,46.7,91.4
4741,4742,7324,beard tan,10.2,tanktop white,3.9,blue cat skin,cool_1,1.2,piercings,8.1,23.5
4742,4743,9112,rich,3.6,tshirt yellow,4.4,blue cat skin,cool_2,5,flower red,5.4,13.4
4743,4744,7485,wink,7.7,robe red,5.1,blue cat skin,cool_1,1.2,beanie red,7.9,21.9
4744,4745,9618,glasses,4.8,bandana red,0.6,blue cat skin,cool_1,1.2,bucket hat tan,3.7,10.3
4746,4747,1286,rich,3.6,overalls red,84.5,blue cat skin,classy_2,9.4,helm biker,90.1,187.6
4747,4748,3301,stunned,2.8,robe red,5.1,blue cat skin,wild_2,4.2,admiral,97.2,109.3
4748,4749,7433,sunglasses cowboy,7.3,tshirt yellow,4.4,blue cat skin,cool_1,1.2,wreath,9.5,22.4
4749,4750,9585,unamused,2.0,tshirt yellow,4.4,blue cat skin,cool_1,1.2,bucket hat green,3.0,10.6
4750,4751,2067,happy,6.7,astro,78.1,blue cat skin,classy_1,6.2,cowboy black,66.7,157.7
4751,4752,4900,sunglasses pixel,5.8,buttondown tan,8.6,blue cat skin,wild_1,1.9,sunhat white,55.7,71.9
4752,4753,9754,beard pirate,0.8,buttondown black flannel,3.0,blue cat skin,cool_2,5,hat visor yellow,5.0,8.8
4753,4754,3349,beard brown,5.4,shirt white,10.6,blue cat skin,wild_1,1.9,bucket hat blue,90.1,108.0
4754,4755,832,double face,3.8,sweater green chain,86.2,blue cat skin,classy_2,9.4,helm silver,113.9,213.3
4755,4756,2244,sunglasses squad,9.1,tanktop sailor red,39.7,blue cat skin,classy_1,6.2,knight blue,93.5,148.5
4756,4757,3122,hearts,4.2,shirt bowtie,40.4,blue cat skin,wild_2,4.2,cowboy black,66.7,115.4
4757,4758,1595,uwu,5.0,overalls red,84.5,blue cat skin,classy_1,6.2,nurse,80.8,176.4
4758,4759,3117,sunglasses heart,3.0,pirate black,69.7,blue cat skin,classy_1,6.2,cowboy brown,36.9,115.7
