,cat_number,rank,face,face-score,shirt,shirt-score,body,tier,tier-score,hats,hats-score,total,price,currency,dollar-price
2367,3137,9166,stunned,2.8,robe red,5.1,blue cat skin,cool_1,1.2,apple,4.0,13.2,8.2,ETH,24177.453999999998
2368,3138,101,three eyes,1.6,costume gorilla,166.9,blue cat skin,exotic_2,62.4,afro rainbow unicorn,126.6,357.5,0.8,ETH,2358.776
2369,3140,9862,ditto,0.0,buttondown black flannel,3.0,blue cat skin,cool_2,5.0,bucket hat tan,3.7,6.7,8.9,ETH,26241.382999999998
2370,3145,5340,ninja blue,4.5,tshirt red,5.1,blue cat skin,cool_2,5.0,beanie black,54.8,64.4,7.38,ETH,21759.708599999998
2371,3146,8360,wink,7.7,shirt yellow,4.4,blue cat skin,cool_1,1.2,bucket hat tan,3.7,16.9,0.56,ETH,1651.1432
2372,3147,7230,happy cute,8.9,robe red,5.1,blue cat skin,cool_1,1.2,flower blue,9.5,24.7,0.1,ETH,294.847
2373,3148,677,sunglasses heart,3.0,astro black,115.7,blue cat skin,exotic_1,16.0,halo,90.1,224.8,0.2,ETH,589.694
2374,3149,9836,zombie,1.1,bandana purple,3.0,blue cat skin,cool_2,5.0,mohawk green,3.3,7.4,8.3,ETH,24472.301
2375,3150,4632,sunglasses cool,10.0,viking navy,68.4,blue cat skin,wild_1,1.9,bucket hat green,3.0,83.2,0.99,ETH,2918.9853
2376,3151,6252,mononoke,4.5,toga,41.8,blue cat skin,wild_1,1.9,flower red,5.4,53.6,0.15,ETH,442.27049999999997
2377,3152,3108,beard brown,5.4,tshirt white,53.8,blue cat skin,wild_1,1.9,beanie black,54.8,115.8,0.04,ETH,117.9388
2378,3153,7078,mummy,0.7,tanktop tattoo,34.9,blue cat skin,wild_1,1.9,hat white,5.0,37.5,6.0,ETH,17690.82
2379,3154,4935,face face,9.1,overalls yellow,60.0,blue cat skin,wild_1,1.9,hat white,5.0,71.0,1.7,ETH,5012.398999999999
2380,3155,145,face face,9.1,combat green,123.9,blue cat skin,exotic_1,16.0,astro fishbowl,172.5,321.5,48.0,ETH,141526.56
2381,3156,127,hearts,4.2,costume gorilla,166.9,blue cat skin,exotic_1,16.0,deepsea bronze,145.0,332.1,23.0,ETH,67814.81
2382,3157,6402,happy,6.7,tshirt blue,32.5,blue cat skin,cool_2,5.0,beanie orange,12.8,52.0,0.98,ETH,2889.5006
2383,3158,5791,derp,3.5,robe red,5.1,blue cat skin,cool_2,5.0,pirate red,49.8,58.4,0.119,ETH,350.86792999999994
2384,3159,4129,beard pirate,0.8,knight leather,81.2,blue cat skin,wild_2,4.2,flower pink,8.4,94.6,5.2,ETH,15332.044
2385,3161,9042,shocked,7.5,work blue,5.1,blue cat skin,cool_1,1.2,hat white,5.0,13.8,0.98,ETH,2889.5006
2386,3162,7292,dizzy,4.8,tshirt red,5.1,blue cat skin,cool_1,1.2,beanie orange,12.8,23.9,0.099,ETH,291.89853
2387,3163,5970,happy cute,8.9,tshirt yellow,4.4,blue cat skin,cool_2,5.0,hat skull,43.2,56.5,6.66,ETH,19636.8102
2388,3164,3582,unamused,2.0,chain,48.3,blue cat skin,wild_1,1.9,ninja blue,51.4,103.6,0.6,WETH,1769.0819999999999
2389,3165,7458,ninja blue,4.5,buttondown tan,8.6,blue cat skin,cool_1,1.2,beanie red,7.9,22.2,6.5,WETH,19165.055
2390,3166,3524,uwu,5.0,tshirt metal,41.1,blue cat skin,wild_1,1.9,unicorn horn,56.6,104.6,1.2,ETH,3538.1639999999998
2391,3167,2768,glasses,4.8,buttondown red flannel,43.4,blue cat skin,wild_2,4.2,prince,76.6,129.0,9.69,ETH,28570.674299999995
2392,3168,3061,glasses funny,4.2,epaulette black,101.6,blue cat skin,wild_2,4.2,beanie red,7.9,117.8,1.5,ETH,4422.705
2393,3169,4394,mummy,0.7,wetsuit,81.2,blue cat skin,wild_2,4.2,bucket hat green,3.0,89.0,1.4,ETH,4127.857999999999
2394,3170,7508,three eyes,1.6,shirt white,10.6,blue cat skin,cool_2,5.0,wreath,9.5,21.7,5.3,WETH,15626.890999999998
2395,3171,7091,happy cute,8.9,shirt white,10.6,blue cat skin,cool_1,1.2,beret red,9.3,30.0,7.5,ETH,22113.524999999998
2396,3172,1473,mononoke,4.5,shirt bowtie,40.4,blue cat skin,classy_2,9.4,afro rainbow unicorn,126.6,180.9,17.77,ETH,52394.31189999999
2397,3173,3400,sunglasses pixel,5.8,tshirt metal,41.1,blue cat skin,wild_2,4.2,sunhat white,55.7,106.7,0.47,ETH,1385.7808999999997
2398,3174,1398,wink,7.7,hoodie red,79.7,blue cat skin,classy_1,6.2,helm biker,90.1,183.6,0.02,ETH,58.9694
2399,3175,8986,ninja red,5.8,work red,3.4,blue cat skin,cool_1,1.2,bucket hat tan,3.7,14.1,12.49,ETH,36826.3903
2400,3178,5423,sunglasses squad,9.1,tanktop sailor black,42.6,blue cat skin,wild_1,1.9,wreath,9.5,63.1,0.205,ETH,604.43635
2401,3179,6128,smirk,6.3,tanktop white,3.9,blue cat skin,cool_2,5.0,mohawk red,44.5,54.8,5.0,ETH,14742.349999999999
2402,3180,8180,derp,3.5,tshirt pink,3.9,blue cat skin,cool_1,1.2,beret red,9.3,17.8,0.42,ETH,1238.3573999999999
2403,3181,4909,ninja red,5.8,tshirt yellow,4.4,blue cat skin,cool_2,5.0,hat black,61.4,71.5,15.0,ETH,44227.049999999996
2404,3183,4173,ninja black,7.5,tanktop sailor black,42.6,blue cat skin,wild_1,1.9,sunhat tan,41.8,93.8,0.035,ETH,103.19645
2405,3185,7145,sunglasses squad,9.1,tanktop orange,7.7,blue cat skin,cool_2,5.0,wreath,9.5,26.4,0.65,ETH,1916.5055
2406,3186,1659,glasses funny,4.2,epaulette red,106.0,blue cat skin,classy_2,9.4,sunhat black,53.9,173.5,0.5,ETH,1474.235
2407,3187,2280,mononoke,4.5,hoodie black,42.6,blue cat skin,classy_1,6.2,knight blue,93.5,146.8,0.1,ETH,294.847
2408,3189,8271,stunned,2.8,tanktop white,3.9,blue cat skin,cool_1,1.2,wreath,9.5,17.4,10.0371,WETH,29594.088237
2409,3190,2263,dizzy,4.8,overalls yellow,60.0,blue cat skin,classy_1,6.2,prince,76.6,147.6,0.09,ETH,265.36229999999995
2410,3191,1339,three eyes,1.6,gown purple,86.2,blue cat skin,classy_2,9.4,top hat,88.4,185.6,0.96,ETH,2830.5312
2411,3192,2686,mummy,0.7,ninja blue,34.9,blue cat skin,classy_1,6.2,helm biker,90.1,131.9,15.0,ETH,44227.049999999996
2412,3193,8507,angry cute,2.4,work red,3.4,blue cat skin,cool_1,1.2,beret red,9.3,16.2,14.325,WETH,42236.832749999994
2413,3194,3479,face face,9.1,gown purple,86.2,blue cat skin,wild_1,1.9,piercings,8.1,105.3,0.05,ETH,147.4235
2414,3195,5562,mononoke,4.5,buttondown green,0.2,blue cat skin,wild_1,1.9,helm army,54.8,61.3,11.5,ETH,33907.405
